Khái niệm \"đường bộ\" được hiểu như thế nào là đúng? Đường bộ gồm:|1- Đường, cầu đường bộ.|2- Hầm đường bộ, bến phà đường bộ.|3- Đường, cầu đường bộ, hầm đường bộ, bến phà đường bộ và các công trình phụ trợ khác.|||3|1|1|2|1|1
Người điều khiển xe ô tô, máy kéo, xe máy chuyên dùng trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá bao nhiêu thì bị cấm?|1- Người điều khiển xe ô tô, máy kéo, xe máy chuyên dùng trên đường mà trong máu có nồng độ cồn vượt quá 50 miligam/100 mililít máu hoặc 0,25 miligam/ 1 lit khí thở.|2- Người điều khiển xe ô tô, máy kéo, xe máy chuyên dùng trên đường mà trong máu hoặc hơi thở có nồng độ cồn.|3- Người điều khiển xe ô tô, máy kéo, xe máy chuyên dùng trên đường mà trong máu có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc 40 miligam/ 1 lít khí thở.|||2|1|1|1|1|1
Người điều khiển xe mô tô, xe gắn máy trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị cấm?|1- Nồng độ cồn vượt quá 50 miligam/100 mililít máu.|2- Nồng độ cồn vượt quá 40 miligam/100 mililít máu.|3- Nồng độ cồn vượt quá 30 miligam/100 miỉilít máu.|||1|1|1|1|1|1
Người điều khiển xe mô tô, xe gắn máy trên đường mà trong khí thở có nồng độ cồn vượt quá bao nhiêu thì bị cấm?|1- Nồng độ cồn vượt quá 0,25 miligam/ 1 lít khí thở.|2- Nồng độ cồn vượt quá 0,20 miligam/ 1 lít khí thở.|3- Nồng độ cồn vượt quá 0,15 miligam/ 1 lít khí thở.|||1|1|1|1|1|1
Hành vi giao xe cơ giới, xe máy chuyên dùng cho người không đủ điều kiện để điểu khiển xe tham gia giao thông có bị nghiêm cấm hay không?|1- Không bị nghiêm cấm.|2- Bị nghiêm cấm.|3- Nghiêm cấm tùy từng trường hợp.|||2|1|1|1|1|1
Hành vi điều khiển xe cơ giới chạy quá tốc độ quy định, giành đường, vượt ẩu có bị nghiêm cấm hay không?|1- Bị nghiêm cấm.|2- Bị nghiêm cấm tùy từng trường hợp.|3- Không bị nghiêm cấm.|||1|1|1|1|1|1
Những hành vi nào sau đây bị cấm?|1- Bấm còi, rú ga liên tục, bấm còi trong thời gian từ 22 giờ đến 5 giờ.|2- Bấm còi hơi, sử dụng đèn chiếu xa trong khu đô thị và khu dân cư, trừ các xe ưu tiện khi đang làm nhiêm vụ.||||3|1|1|1|1|1
Các hành vi nào sau đây bị nghiêm cấm?|1- Lắp đặt, sử dụng còi, đèn không đúng thiết kế của nhà sản xuất đối với từng loại xe cơ giới.|2- Sử dụng thiết bị âm thanh gây mất trật tự an toàn giao thông, trật tự công cộng.||||3|1|1|1|1|1
Trong hoạt động vận tải đường bộ, các hành vi nào sau đây bị nghiêm cấm?|1- Vận chuyển hàng cấm lưu thông.|2- Vận chuyển trái phép hoặc không thực hiện đầy đủ các quy định về vận chuyển hàng nguy hiểm, động vật hoang dã.||||3|1|0|1|1|1
Trong hoạt động vận tải khách, những hành vi nào ghi ở dưới đây bị cấm?|1- Đe dọa, xúc phạm, tranh giành, lôi kéo hành khách; bắt ép hành khách sử dụng dịch vụ ngoài ý muốn.|2- Chuyển tải, xuống khách hoặc các hành vị khác nhằm trốn tránh phát hiện xe chở quá tải, quá số người quy định.||||3|1|0|1|1|1
Hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điểu kiện mà cố ý không cứu giúp người bị tai nạn giao thông có bị nghiêm cấm hay không?|1- Không bị nghiêm cấm.|2- Nghiêm cấm tuỳ từng trường hợp cụ thể.|3- Bị nghiêm cấm.|||4|1|1|1|1|1
Khi xảy ra tai nạn giao thông, những hành vi nào ghi ở dưới đây bị nghiêm cấm?|1- Xâm phạm tính mạng, sức khoẻ, tài sản của người bị tai nạn giao thông; xâm phạm tính mạng, sức khoẻ, tài sản của người gây tai nạn giao thông.|2- Lợi dụng việc xảy ra tai nạn giao thông để hành hung, đe doạ, xúi giục, gây sức ép, làm mất trật tự, cản trở việc xử lý tai nạn giao thông.||||3|1|1|1|1|1
Những hành vi nào ghi ở dưới đây bị nghiêm cấm?|1- Sử dụng hè phố để đi bộ.|2- Sử dụng lòng đường, lề đường trái phép.|3- Sử dụng hè phố trái phép.|||6|1|0|1|1|1
Việc sản xuất, mua bán, sử dụng biển số xe cơ giới, xe máy chuyên dùng được quy định như thế nào trong Luật giao thông đường bộ?|1- Nghiêm cấm sản xuất, được phép sử dụng.|2- Nghiêm cấm mua bán, cho phép sử dụng.|3- Nghiêm cấm sản xuất, mua bán, sử dụng trái phép.|||4|1|1|1|1|1
Người lái xe không được vượt xe khác khi gặp trường hợp nào ghi ở dưới đây?|1- Trên cầu hẹp có một làn xe; nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt.|2- Điều kiện thời tiết hoặc đường không bảo đảm an toàn cho việc vượt; xe ưu tiên đang phát tín hiệu ưu tiên làm nhiệm vụ.||||3|1|1|2|1|1
Ở những nơi nào không được quay đầu xe?|1- Ở phần đường dành cho người đi bộ qua đường, đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất.|2- Tại nơi đường bộ giao nhau cùng mức.|3- Trên cầu, đầu cầu, gầm cầu vượt, ngầm, trong hầm đường bộ, đường cao tốc, tại nơi đường bộ giao nhau cùng mức với đường sắt.|||5|1|0|2|2|1
Ở những nơi nào không được lùi xe?|1- Ở khu vực cho phép đỗ xe.|2- Ở khu vực cấm dừng và trên phần đường dành cho người đi bộ qua đường.|3- Nơi đường bộ giao nhau, đường bộ giao nhau cùng mức với đường sắt, nơi tầm nhìn bị che khuất, trong hầm đường bộ, đường cao tốc.|||6|1|0|2|2|1
Người điều khiển phương tiện giao thông trên đường phố có được dừng xe, đỗ xe trên đường xe điện, trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước hay không?|1- Được dừng xe, đỗ xe trong trường hợp cần thiết.|2- Không được dừng xe, đỗ xe.|3- Được dừng xe, đỗ xe.|4- Được dừng xe.||2|1|0|2|2|1
Khi điều khiển xe trên đường cao tốc, những việc nào không cho phép?|1- Cho xe chạy ở làn dừng xe khẩn cấp và phần lề đường; quay đầu xe, lùi xe; cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo, sơn kẻ trên mặt đường.|2- Cho xe chạy quá tốc độ tối thiểu và dưới tốc độ tối đa ghi trên biển báo, sơn kẻ trên mặt đường.|3- Dừng xe, đỗ xe ở nơi quy định.|||1|1|0|2|2|2
Khi xe kéo xe và xe kéo rơ moóc, những hành vi nào không được phép?|1- Xe kéo rơ moóc, xe kéo sơ mi rơ moóc kéo thêm rơ moóc hoặc xe khác.|2- Chở người trên xe được kéo; kéo theo xe thô sơ, xe gắn máy, xe mô tô.|3- Chở hàng trên rơ moóc hoặc sơ mi rơ moóc.|||3|1|0|2|1|2
Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo, đẩy các xe khác, vật khác khi tham gia giao thông không?|1- Được phép.|2- Tuỳ trường hợp.|3- Không được phép.|||4|1|2|2|1|2
Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông không được thực hiện những hành vi nào dưới đây?|1- Đội mũ bảo hiểm và cài quai đúng quy cách.|2- Sử dụng ô; bám, kéo hoặc đẩy các phương tiện khác.|3- Đứng trên yên, giá đèo hàng hoặc ngồi trên tay lái; các hành vi khác gây mất trật tự an toàn giao thông.|||6|1|1|2|2|2
Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?|1- Được mang, vác tùy trường hợp cụ thể.|2- Không được mang, vác.|3- Được mang, vác nhưng phải đảm bảo an toàn.|||2|1|1|2|2|2
Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?|1 - Buông cả hai tay hoặc đi xe bằng một bánh đối với xe hai bánh, bằng hai bánh đối với xe ba bánh; chạy quá tốc độ quy định.|2- Sử dụng xe để kéo, đẩy xe khác, vật khác và chở vật cồng kềnh; để chân chống quẹt xuống đất và các hành vi khác gây mất trật tự an toàn giao thông.|3- Chạy đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ.|||3|1|1|2|2|2
Việc họp chợ, tụ tập đông người trái phép, thả rông súc vật trên đường bộ có được phép hay không?|1- Không được phép.|2- Được phép.|3- Được phép trong một số trường hợp cụ thể.|||1|1|0|2|2|2
Bảo đảm trật tự, an toàn giao thông đường bộ là trách nhiệm của ai?|1- Là trách nhiệm của ngành Giao thông vận tải và ngành Công an.|2- Là trách nhiệm của cơ quan, tổ chức, cá nhân.|3- Là trách nhiệm của cảnh sát giao thông.|||2|1|1|2|2|2
Người tham gia giao thông phải chấp hành quy tắc nào dưới đây?|1- Phải đi bên trái của đường đi, đi đúng làn đường, phần đường quy định và phải chấp hành biển báo hiệu đường bộ; xe ô tô có trang bị dây an toàn thì người lái xe phải thắt dây an toàn.|2- Phải đi bên phải theo chiều đi của mình, đi đúng làn đường, phần đường quy định và phải chấp hành hệ thống báo hiệu đường bộ; xe ô tô có trang bị dây an toàn thì người lái xe và người ngồi hàng ghế phía trước trong xe ô tô phải thắt dây an toàn.||||2|1|0|2|1|2
Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu vàng, người điều khiển phương tiện phải thực hiện như thế nào?|1- Phải cho xe dừng lại trước vạch dừng, trừ trường hợp đã đi quá vạch dừng thì được đi tiếp; trong trường hợp tín hiệu vàng nhấp nháy là được đi nhưng phải giảm tốc độ, chú ý quan sát, nhường đường cho người đi bộ qua đường.|2- Phải cho xe nhanh chóng vượt qua vạch dừng để đi qua đường giao nhau và chú ý đảm bảo an toàn; khi đèn tín hiệu vàng nhấp nháy là được đi nhưng phải giảm tốc độ, chú ý quan sát người đi bộ để bảo đảm an toàn.|3- Cả hai ý nêu trên.|||1|1|1|2|2|1
Biển báo hiệu đường bộ gồm những nhóm nào, ý nghĩa của từng nhóm?|1- Nhóm biển báo cấm để biểu thị các điều cấm; nhóm biển báo hiệu nguy hiểm để cảnh báo các tình huống nguy hiểm có thể xảy ra; nhóm biển hiệu lệnh để báo hiệu các hiệu lệnh phải thi hành.|2- Nhóm biển chỉ dẫn để chỉ dẫn hướng đi hoặc các điều cần biết; nhóm biển phụ để thuyết minh bổ sung các loại biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh và biển chỉ dẫn.||||3|1|1|2|2|1
Tại nơi đường giao nhau, khi người điều khiển giao thông ra hiệu lệnh bằng hai tay hoặc một tay giang ngang để báo hiệu thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?|1 - Người tham gia giao thông ở phía trước và ở phía sau người điều khiển giao thông phải dừng lại; người tham gia giao thông ở phía bên phải và bên trái người điều khiển được đi.|2- Người tham gia giao thòng ở phía trước và ở phía sau người điều khiển giao thông được đi thẳng; người tham gia giao thông ở phía bên phải và bên trái người điều khiển được đi thẳng và rẽ phải.||||1|1|1|2|2|1
Tại nơi đường giao nhau, khi người điều khiển giao thông ra hiệu lệnh tay giơ thẳng đứng để báo hiệu thì người tham gia giao thông phải đi như thế nào?|1- Người tham gia giao thông ở phía trước và ở phía sau người điều khiển giao thông phải dừng lại; người tham gia giao thông ở phía bên phải và bên trái người điều khiển được đi.|2- Người tham gia giao thông ở các hướng phải dừng lại.|3- Tất cả các trường hợp trên.|||2|1|2|2|1|1
Tại nơi đường giao nhau, khi người điều khiển giao thông ra hiệu lệnh bằng tay phải giơ về phía trước để báo hiệu thì người tham gia giao thông phải đi như thế nào?|1- Người tham gia giao thông ở phía sau người điều khiển phải dừng lại; người ở phía trước người điều khiển được rẽ trái; người ở phía bên trái người điều khiển được rẽ trái; người đi bộ qua đường phải dừng lại sau lưng người điều khiển giao thông.|2- Người tham gia giao thông ở phía sau và bên phải người điều khiển phải dừng lại; người ở phía trước người điều khiển được rẽ phải; người ở phía bên trái người điều khiển giao thông được đi tất cả các hướng; người đi bộ qua đường phải đi sau lưng người điều khiển giao thông.||||2|1|2|2|1|1
Trên đường giao thông, khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào?|1- Hiệu lệnh của người điều khiển giao thông.|2- Hiệu lệnh của đèn điều khiển giao thông.|3- Hiệu lệnh của biển báo hiệu đường bộ.|||1|1|1|2|1|1
Tại nơi có biển hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu nào?|1- Biển báo hiệu cố định.|2- Báo hiệu tạm thời.||||2|1|1|2|1|1
Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi như thế nào?|1- Cho xe đi trên bất kỳ làn đường nào; khi cần thiết phải chuyển làn đường, người lái xe phải có đèn tín hiệu báo trước và phải bảo đảm an toàn.|2- Phải cho xe đi trong một làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn phải có tín hiệu báo trước và phải bảo đảm an toàn.|3- Phải cho xe đi trong một làn đường, khi chuyển làn đường phải có tín hiệu báo trước, chú ý quan sát để bảo đảm an toàn.|||2|1|1|2|1|1
Trên đường một chiều có vạch kẻ phân làn đường, xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông?|1- Xe thô sơ phải đi trên làn đường bên trái trong cùng, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên phải.|2- Xe thô sơ phải đi trên làn đường bên phải trong cùng; xe cơ giới, xe máy chuyên dùng đi trên làn đường bên trái.|3- Xe thô sơ đi trên làn đường phù hợp không gây cản trở giao thông, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên phải.|||2|1|1|1|1|1
Trên đường có nhiều làn đường, người điều khiển phương tiện tham gia giao thông sử dụng làn đường như thế nào là đúng?|1- Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi trong một làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn đường phải có tín hiệu báo trước và đảm bảo an toàn.|2- Phương tiện tham gia giao thống đường bộ di chuyển với tốc độ thấp hơn đi về bên trái.|3- Trên đường một chiều có vạch kẻ phân làn đường, xe thô sơ phải đi trên làn đường bên phải trong cùng, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên trái; phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn đi về bên phải.|||5|1|1|1|1|1
Khi điều khiển xe chạy trên đoạn đường vòng, đầu dốc và các vị trí có tầm nhìn hạn chế người lái xe muốn vượt xe khác thì phải xử lý như thế nào?|1- Nháy đèn pha kết hợp với tín hiệu còi cho xe trước biết để xe mình vượt.|2- Không được vượt.|3- Nếu thấy không có xe đi ngược chiều và đường đủ rộng thì có thể cho xe vượt nhưng phải bảo đảm an toàn.|||2|1|0|1|1|1
Khi vượt xe khác người lái xe phải thực hiện như thế nào?|1- Phải báo hiệu bằng đèn hoặc còi; trong đô thị và nơi đông dân cư từ 22 giờ đến 05 giờ chỉ được báo hiệu xin vượt bằng đèn.|2- Xe xin vượt chỉ được vượt khi không có chướng ngại vật ở phía trước, không có xe chạy ngược chiều trong đoạn đường định vượt, xe chạy trước không có tín hiệu vượt xe khác và đã tránh về bên phải.||||3|1|0|1|1|1
Khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điểu kiện an toàn người lái xe phải làm gì?|1- Tăng tốc độ và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe sau vượt.|2- Người điều khiển phương tiện phía trước phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại cho xe sau vượt.|3- Cho xe tránh về bên trái mình và ra hiệu cho xe sau vượt; nếu có chướng ngại vật phía trước hoặc thiếu điều kiện an toàn chưa cho vượt được phải ra hiệu cho xe sau biết; cấm gây trở ngại cho xe xin vượt.|||2|1|0|1|1|1
Xe sau có thể vượt lên bên phải xe khác đang chạy phía trước trong trường hợp nào?|1- Khi xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái; khi xe điện đang chạy giữa đường.|2- Khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái được.|3- Khi có đủ khoảng trống để vượt xe.|||3|1|1|1|1|1
Trong khu dân cư, ở nơi nào cho phép người lái xe, người điều khiển xe máy chuyên dùng được quay đầu xe?|1- Ở nơi đường giao nhau và nơi có biển báo cho phép quay đầu xe.|2- Nơi có đường rộng để cho các loại xe chạy một chiều.|3- Ở bất kỳ nơi nào.|||1|1|0|1|1|1
Người lái xe phải làm gì khi quay đầu xe trên cầu, gầm cầu vượt, đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt?|1- Không được quay đầu xe.|2- Lợi dụng chỗ rộng và phải có người làm tín hiệu sau xe để bảo đảm an toàn.|3- Lợi dụng chỗ rộng có thể quay đầu được để quay đầu xe cho an toàn.|||1|1|1|1|1|1
Khi muốn chuyển hướng, người lái xe phải thực hiện như thế nào?|1- Người điều khiển phương tiện phải tăng tốc độ và có tín hiệu báo hướng để rẽ.|2- Người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ; chỉ cho rẽ chuyển hướng khi quan sát thấy không gây trở ngại hoặc nguy hiểm cho người và phương tiện khác.|3- Trong khi chuyển hướng, người lái xe, người điều khiển xe máy chuyên dùng phải nhường quyền đi trước cho người đi bộ, người đi xe đạp đang đi trên phần đường dành riêng cho họ; nhường đường cho các xe đi ngược chiều.|||6|1|1|1|1|1
Khi lùi xe người lái xe phải làm gì dể bảo đảm an toàn?|1 - Quan sát phía trước và cho lùi xe.|2- Lợi dụng nơi đường giao nhau đủ chiều rộng để lùi.|3- Phải quan sát phía sau, có tín hiệu cần thiết và chỉ khi nào thấy không nguy hiểm mới được lùi.|||4|1|0|1|1|1
